Currency,Asks MEXC,Bids MEXC,Asks GateIo,Bids GateIo,Asks HUOBI,Bids HUOBI,Asks Ascendex,Bids Ascendex
LTC,83.82,83.81,83.89,83.87,83.86,83.84,u,u,Ask:GateIo/Bid:MEXC: 0.095%,Ask:HUOBI/Bid:MEXC: 0.059%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.059%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DOT,5.659,5.658,5.6627,5.6614,5.6619,5.6612,u,u,Ask:GateIo/Bid:MEXC: 0.083%,Ask:HUOBI/Bid:MEXC: 0.068%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.026%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CRO,0.069,0.0689,0.069012,0.068961,u,u,u,u,Ask:GateIo/Bid:MEXC: 0.162%,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,GateIo/HUOBI: unavailable,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
UNI,5.315,5.314,5.3192,5.3159,5.3149,5.3129,u,u,Ask:GateIo/Bid:MEXC: 0.097%,Ask:MEXC/Bid:HUOBI: 0.039%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.118%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BNB,323.6,323.59,323.93,323.92,323.82,323.79,u,u,Ask:GateIo/Bid:MEXC: 0.105%,Ask:HUOBI/Bid:MEXC: 0.071%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.043%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
SHIB,9.46e-06,9.45e-06,0.0000094704,0.0000094695,9.47e-06,9.46e-06,u,u,Ask:GateIo/Bid:MEXC: 0.215%,Ask:HUOBI/Bid:MEXC: 0.211%,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.109%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
TRX,0.06983,0.06982,0.06986,0.06985,0.069889,0.069888,u,u,Ask:GateIo/Bid:MEXC: 0.057%,Ask:HUOBI/Bid:MEXC: 0.098%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.055%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
APT,9.298,9.297,9.306,9.2967,9.3056,9.301,u,u,Ask:GateIo/Bid:MEXC: 0.096%,Ask:HUOBI/Bid:MEXC: 0.092%,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.095%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
DOGE,u,u,0.077125,0.077105,0.07712,0.077107,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.023%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
BCH,u,u,117.01,116.9,117.01,116.97,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.094%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ETC,u,u,18.924,18.919,18.925,18.9228,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.031%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RNDR,2.1878,2.1877,2.1881,2.186,2.1898,2.1884,2.198,2.181,Ask:MEXC/Bid:GateIo: 0.082%,Ask:HUOBI/Bid:MEXC: 0.095%,Ask:Ascendex/Bid:MEXC: 0.470%,Ask:HUOBI/Bid:GateIo: 0.173%,Ask:Ascendex/Bid:GateIo: 0.548%,Ask:Ascendex/Bid:HUOBI: 0.438%
ATOM,u,u,10.9008,10.8979,10.9001,10.8977,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.028%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ALGO,u,u,0.17427,0.17417,0.1745,0.1742,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:HUOBI/Bid:GateIo: 0.189%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ETH,u,u,1917.06,1917.05,1916.43,1916.4,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.034%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
CHZ,u,u,0.12566,0.12556,0.125533,0.12549,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.135%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
RPL,u,u,49.186,49.148,49.282,48.7741,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.844%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
STETH,u,u,1918.4314,1913.4389,1925.07,1894.23,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 1.277%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
ICP,u,u,5.6334,5.6243,5.63,5.62,u,u,MEXC/GateIo: unavailable,MEXC/HUOBI: unavailable,MEXC/Ascendex: unavailable,Ask:GateIo/Bid:HUOBI: 0.238%,GateIo/Ascendex: unavailable,HUOBI/Ascendex: unavailable
